Closest Location,Date,No. of Cases,precipIntensity,precipIntensityMax,precipIntensityMaxTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,humidity
Ang Mo Kio,07/01/2019,3.0,0.001,0.0036,1545663600,89.67,1545631500,77.02,1545681300,0.8
Ang Mo Kio,07/06/2019,125.0,0.0012,0.0067,1558677540,91.48,1558683000,79.61,1558727880,0.79
Ang Mo Kio,10/05/2019,9.0,0.0452,0.0992,1556268060,87.46,1556253120,77.79,1556308080,0.87
Ang Mo Kio,10/06/2019,135.0,0.0081,0.0353,1558947540,91.74,1558933500,80.14,1558986900,0.82
Ang Mo Kio,11/01/2019,2.0,0.0045,0.0183,1545987060,89.95,1545977160,77.27,1546036740,0.78
Ang Mo Kio,13/05/2019,11.0,0.0049,0.0203,1556535780,92.79,1556522400,80.11,1556567880,0.82
Ang Mo Kio,14/01/2019,3.0,0.01,0.0396,1546247700,88.13,1546239120,77.13,1546293240,0.85
Ang Mo Kio,14/06/2019,168.0,0.0148,0.0707,1559250060,88.96,1559277420,78.95,1559342220,0.84
Ang Mo Kio,17/05/2019,15.0,0.0055,0.0351,1556874060,92.74,1556859120,80.84,1556913240,0.81
Ang Mo Kio,18/01/2019,2.0,0.0016,0.0082,1546550100,90.9,1546584960,78.4,1546639080,0.76
Ang Mo Kio,19/06/2019,100.0,0.0061,0.0193,1559682000,89.8,1559709240,79.02,1559774760,0.83
Ang Mo Kio,21/06/2019,110.0,0.011,0.0518,1559865420,85.94,1559892180,78.55,1559937420,0.87
Ang Mo Kio,22/05/2019,24.0,0.0152,0.0376,1557284640,88.31,1557304200,79.5,1557347400,0.85
Ang Mo Kio,23/04/2019,1.0,0.0126,0.0546,1554796920,91.06,1554785940,78.63,1554841260,0.83
Ang Mo Kio,24/05/2019,24.0,0.0053,0.0224,1557426660,91.46,1557471600,80.51,1557518940,0.79
Ang Mo Kio,25/01/2019,3.0,0.0002,0.0011,1547153700,89.19,1547183220,75.84,1547246400,0.81
Ang Mo Kio,26/04/2019,1.0,0.0037,0.0091,1555038540,91.69,1555052940,79.52,1555105980,0.81
Ang Mo Kio,26/06/2019,185.0,0.0039,0.0228,1560268800,88.45,1560321180,81.37,1560365760,0.86
Ang Mo Kio,27/05/2019,36.0,0.0081,0.0324,1557737640,90.53,1557723780,79.86,1557776760,0.82
