Location,No. of Cases,Date,Latitude,Longtitude,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Hougang Avenue 5 (Blk 310),6,04/01/2019,1.3663252,103.8961384,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 319),1,04/01/2019,1.3657345,103.8969540,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 320),1,04/01/2019,1.3663790,103.8981550,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 324),1,04/01/2019,1.3675124,103.8974855,Buangkok,0,0,0,0,—,—,—,—,—
Cashew Road (Cashew Heights),2,04/01/2019,1.3718515,103.7677710,Bukit Panjang,0,0,0,0,—,—,—,—,—
Gangsa Road (Blk 153),3,04/01/2019,1.3750816,103.7653500,Bukit Panjang,0,0,0,0,—,—,—,—,—
Gangsa Road (Blk 154),2,04/01/2019,1.3748817,103.7650558,Bukit Panjang,0,0,0,0,—,—,—,—,—
Hazel Park Terrace (Hazel Park Condominium),3,04/01/2019,1.3717218,103.7642820,Bukit Panjang,0,0,0,0,—,—,—,—,—
Jalan Damai (Blk 664),1,04/01/2019,1.3342575,103.9089161,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Damai (Blk 665),1,04/01/2019,1.3341158,103.9081004,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Damai (Blk 667),1,04/01/2019,1.3338199,103.9086442,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 651),1,04/01/2019,1.3322173,103.9073754,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 652),1,04/01/2019,1.3326533,103.9079192,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 654),2,04/01/2019,1.3328801,103.9066505,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 655),1,04/01/2019,1.3333365,103.9068090,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 658),1,04/01/2019,1.3336872,103.9062880,Chai Chee,0,0,0,0,—,—,—,—,—
