Location,No. of Cases,Date
Taman Bedok,1,20-04-18
Cheng Soon Crescent,1,20-04-18
Eng Kong Terrace,6,20-04-18
Lorong Kismis (Kismis View),1,20-04-18
Toh Yi Drive,3,20-04-18
Toh Yi Road,8,20-04-18
Bedok Reservoir Road (Blk 135),1,20-04-18
Bedok Reservoir Road (Blk 136),3,20-04-18
Bedok Reservoir Road (Blk 137),1,20-04-18
Bedok Reservoir Road (Blk 142),1,20-04-18
Bedok Reservoir Road (Blk 145),1,20-04-18
Gangsa Road (Blk 153),1,20-04-18
Gangsa Road (Blk 154),2,20-04-18
Hazel Park Terrace (Hazel Pk Condo),2,20-04-18
Kaki Bukit Industrial Terrace,5,20-04-18
Jurong West Street 91 (Blk 909),1,20-04-18
Jurong West Street 91 (Blk 915),1,20-04-18
Jurong West Street 92 (Blk 929),2,20-04-18
Goldhill Avenue,2,20-04-18
Goldhill Drive,1,20-04-18
Jalan Mastuli,1,20-04-18
Jalan Pelikat,2,20-04-18
Tampines Street 42 (Blk 446),1,20-04-18
Tampines Street 42 (Blk 449),1,20-04-18
Tampines Street 43 (Blk 434),1,20-04-18
Cashew Road (Blk 130),1,20-04-18
Cashew Road (Blk 133),1,20-04-18
Hougang Avenue 1 (Blk 238),1,20-04-18
Jalan Lepas,1,20-04-18
Kaki Bukit Avenue 1,2,20-04-18
Mergui Road (Mergui Mansions),2,20-04-18
Woodlands Drive 50 (Blk 899B),1,20-04-18
Yishun Industrial Street 1,1,20-04-18
Yishun Street 22 (Blk 269A),1,20-04-18
Chun Tin Road,4,23-04-18
Jalan Jurong Kechil,1,23-04-18
Lorong Pisang Asam,6,23-04-18
Lorong Pisang Emas,16,23-04-18
Lorong Pisang Hijau,2,23-04-18
Lorong Pisang Raja,3,23-04-18
Lorong Pisang Udang,2,23-04-18
Yuk Tong Avenue,1,23-04-18
Eastwood Drive,19,23-04-18
Eastwood Place,1,23-04-18
Eastwood Terrace,1,23-04-18
Eastwood Way,2,23-04-18
Jalan Greja,3,23-04-18
Pesari Walk,1,23-04-18
Taman Bedok,1,23-04-18
Bedok Reservoir Road (Blk 132),1,23-04-18
Bedok Reservoir Road (Blk 135),2,23-04-18
Bedok Reservoir Road (Blk 136),4,23-04-18
Bedok Reservoir Road (Blk 137),1,23-04-18
Bedok Reservoir Road (Blk 138),1,23-04-18
Bedok Reservoir Road (Blk 139),8,23-04-18
Bedok Reservoir Road (Blk 145),1,23-04-18
Kaki Bukit Industrial Terrace,9,23-04-18
Jurong West Street 91 (Blk 909),1,23-04-18
Jurong West Street 91 (Blk 913),1,23-04-18
Jurong West Street 91 (Blk 915),3,23-04-18
Jurong West Street 92 (Blk 929),2,23-04-18
Gangsa Road (Blk 153),1,23-04-18
Gangsa Road (Blk 154),2,23-04-18
Hazel Park Terrace (Hazel Pk Condo),2,23-04-18
Senoko Crescent,1,23-04-18
Senoko Road,3,23-04-18
Pandan Gardens (Blk 411),3,23-04-18
Pandan Gardens (Blk 414),1,23-04-18
Woodlands Drive 60 (Blk 786B),1,23-04-18
Woodlands Drive 60 (Blk 786E),1,23-04-18
Woodlands Drive 60 (Blk 786F),2,23-04-18
Yishun Avenue 6 (Lilydale),1,23-04-18
Yishun Avenue 11 (Blk 418),1,23-04-18
Yishun Street 42,2,23-04-18
Aljunied Crescent (Blk 106),1,23-04-18
Aljunied Crescent (Blk 110),1,23-04-18
Aljunied Crescent (Blk 112),1,23-04-18
Hougang Avenue 5 (Blk 320),1,23-04-18
Hougang Avenue 5 (Blk 324),1,23-04-18
Jalan Mastuli,1,23-04-18
Jalan Pelikat,2,23-04-18
Jalan Tenaga (Blk 651),1,23-04-18
Jalan Tenaga (Blk 652),1,23-04-18
Jalan Tenaga (Blk 654),1,23-04-18
Tampines Street 42 (Blk 446),1,23-04-18
Tampines Street 42 (Blk 449),1,23-04-18
Tampines Street 43 (Blk 434),1,23-04-18
Woodlands Street 41 (Blk 421),3,23-04-18
Cashew Road (Blk 130),1,23-04-18
Hougang Avenue 1 (Blk 238),1,23-04-18
Jalan Lepas,1,23-04-18
Kaki Bukit Avenue 1,2,23-04-18
Mergui Road (Mergui Mansions),2,23-04-18
Chun Tin Road,4,27-04-18
Jalan Jurong Kechil,1,27-04-18
Lorong Pisang Asam,6,27-04-18
Lorong Pisang Emas,16,27-04-18
Lorong Pisang Hijau,2,27-04-18
Lorong Pisang Raja,3,27-04-18
Lorong Pisang Udang,2,27-04-18
Yuk Tong Avenue,1,27-04-18
Eastwood Drive,19,27-04-18
Eastwood Place,1,27-04-18
Eastwood Terrace,1,27-04-18
Eastwood Way,2,27-04-18
Jalan Greja,3,27-04-18
Pesari Walk,1,27-04-18
Taman Bedok,1,27-04-18
Bedok Reservoir Road (Blk 131),1,27-04-18
Bedok Reservoir Road (Blk 132),1,27-04-18
Bedok Reservoir Road (Blk 135),2,27-04-18
Bedok Reservoir Road (Blk 136),4,27-04-18
Bedok Reservoir Road (Blk 137),1,27-04-18
Bedok Reservoir Road (Blk 138),1,27-04-18
Bedok Reservoir Road (Blk 142),1,27-04-18
Bedok Reservoir Road (Blk 145),1,27-04-18
Jurong West Street 91 (Blk 909),1,27-04-18
Jurong West Street 91 (Blk 913),2,27-04-18
Jurong West Street 91 (Blk 915),4,27-04-18
Jurong West Street 92 (Blk 929),2,27-04-18
Kaki Bukit Industrial Terrace,9,27-04-18
Gangsa Road (Blk 153),2,27-04-18
Gangsa Road (Blk 154),2,27-04-18
Hazel Park Terrace (Hazel Pk Condo),2,27-04-18
Pandan Gardens (Blk 411),4,27-04-18
Senoko Crescent,1,27-04-18
Senoko Drive,1,27-04-18
Senoko Road,3,27-04-18
Jalan Damai (Blk 667),1,27-04-18
Jalan Tenaga (Blk 651),1,27-04-18
Jalan Tenaga (Blk 652),1,27-04-18
Jalan Tenaga (Blk 654),1,27-04-18
Woodlands Drive 60 (Blk 786B),1,27-04-18
Woodlands Drive 60 (Blk 786E),1,27-04-18
Woodlands Drive 60 (Blk 786F),2,27-04-18
Yishun Avenue 6 (Lilydale),1,27-04-18
Yishun Avenue 11 (Blk 418),1,27-04-18
Hougang Avenue 5 (Blk 320),1,27-04-18
Hougang Avenue 5 (Blk 324),1,27-04-18
Woodlands Street 41 (Blk 421),3,27-04-18
Alexandra Road (The Anchorage),2,27-04-18
Cashew Road (Blk 130),1,27-04-18
Cashew Road (Blk 133),1,27-04-18
Kaki Bukit Avenue 1,2,27-04-18
Macpherson Road,1,27-04-18
Siak Kew Avenue,1,27-04-18
Mergui Road (Mergui Mansions),2,27-04-18
Chun Tin Road,4,30-04-18
lan Jurong Kechil,1,30-04-18
rong Pisang Asam,6,30-04-18
rong Pisang Emas,16,30-04-18
rong Pisang Hijau,2,30-04-18
rong Pisang Raja,3,30-04-18
rong Pisang Udang,2,30-04-18
Yuk Tong Avenue,1,30-04-18
Eastwood Drive,19,30-04-18
Eastwood Green,4,30-04-18
Eastwood Place,1,30-04-18
stwood Way,2,30-04-18
alan Greja,3,30-04-18
esari Walk,1,30-04-18
man Bedok,1,30-04-18
Bedok Reservoir Road (Blk 628),1,30-04-18
Bedok Reservoir Road (Blk 128),1,30-04-18
Bedok Reservoir Road (Blk 131),2,30-04-18
Bedok Reservoir Road (Blk 132),1,30-04-18
Bedok Reservoir Road (Blk 135),2,30-04-18
Bedok Reservoir Road (Blk 136),4,30-04-18
Bedok Reservoir Road (Blk 137),2,30-04-18
Bedok Reservoir Road (Blk 138),1,30-04-18
Bedok Reservoir Road (Blk 142),2,30-04-18
Bedok Reservoir Road (Blk 144),1,30-04-18
Bedok Reservoir Road (Blk 145),1,30-04-18
Bedok Reservoir Road (Blk 147),1,30-04-18
Bedok Reservoir Road (Blk 622),1,30-04-18
aki Bukit Industrial Terrace,12,30-04-18
urong West Street 91 (Blk 909),1,30-04-18
urong West Street 91 (Blk 913),3,30-04-18
urong West Street 91 (Blk 915),4,30-04-18
urong West Street 92 (Blk 929),2,30-04-18
angsa Road (Blk 154),2,30-04-18
azel Park Terrace (Hazel Pk Condo),2,30-04-18
Pandan Gardens (Blk 411),5,30-04-18
Pandan Gardens (Blk 414),2,30-04-18
Senoko Crescent,1,30-04-18
noko Drive,2,30-04-18
noko Road,4,30-04-18
alan Damai (Blk 664),1,30-04-18
alan Damai (Blk 667),1,30-04-18
lan Tenaga (Blk 651),1,30-04-18
lan Tenaga (Blk 652),1,30-04-18
lan Tenaga (Blk 654),2,30-04-18
Hougang Avenue 5 (Blk 308),2,30-04-18
Hougang Avenue 5 (Blk 319),1,30-04-18
Hougang Avenue 5 (Blk 324),1,30-04-18
arlisle Road,3,30-04-18
rtford Road Vanadium),1,30-04-18
alan Kuang,1,30-04-18
lan Pergam,1,30-04-18
pper Changi Road East Sunhaven),2,30-04-18
oodlands Drive 60 Blk 786B),1,30-04-18
oodlands Drive 60 Blk 786E),1,30-04-18
oodlands Drive 60 Blk 786F),2,30-04-18
ng Mo Kio Avenue 5,1,30-04-18
erangoon orth Avenue 4 (Blk 532),1,30-04-18
erangoon orth Avenue 5,1,30-04-18
orporation Road Parc Vista),1,30-04-18
urong West Street 52 (Blk 518),1,30-04-18
erangoon Avenue 1 (Blk 403),1,30-04-18
erangoon Avenue 1 (Blk 408),1,30-04-18
erangoon Central (Blk 412),1,30-04-18
bi Avenue 1,1,30-04-18
bi Crescent,1,30-04-18
bi Road 1,1,30-04-18
Yishun Industrial Street 1,1,30-04-18
ishun Street 22 Blk 269A),2,30-04-18
Alexandra Road (The nchorage),2,30-04-18
edok Road,1,30-04-18
edok Road ountry Park ndominium),1,30-04-18
Batok West Avenue 9 Blk 448A),1,30-04-18
Choa Chu ng Street 53 (Blk 701),1,30-04-18
Hougang Street 21 (Blk 211),1,30-04-18
Hougang Street 21 (Blk 231),1,30-04-18
rong Kismis,1,30-04-18
or Kismis ismis View),1,30-04-18
Lorong Marzuki,2,30-04-18
acpherson Road,1,30-04-18
Siak Kew Avenue,1,30-04-18
Toh Guan Road (Blk 273),1,30-04-18
Toh Guan Road (Blk 274),1,30-04-18
oodlands Drive 14 (Blk 521),1,30-04-18
oodlands Drive 14 (Blk 523),1,30-04-18
oodlands Street 81 (Blk 804),1,30-04-18
Eastwood Drive,19,04-05-18
Eastwood Green,4,04-05-18
Eastwood Place,1,04-05-18
Eastwood Terrace,2,04-05-18
stwood Way,2,04-05-18
alan Greja,3,04-05-18
esari Walk,1,04-05-18
man Bedok,1,04-05-18
Bedok Reservoir Road (Blk 128),1,04-05-18
Bedok Reservoir Road (Blk 130),1,04-05-18
Bedok Reservoir Road (Blk 135),2,04-05-18
Bedok Reservoir Road (Blk 136),4,04-05-18
Bedok Reservoir Road (Blk 137),2,04-05-18
Bedok Reservoir Road (Blk 138),1,04-05-18
Bedok Reservoir Road (Blk 139),8,04-05-18
Bedok Reservoir Road (Blk 142),2,04-05-18
Bedok Reservoir Road (Blk 144),2,04-05-18
Bedok Reservoir Road (Blk 145),1,04-05-18
Bedok Reservoir Road (Blk 622),1,04-05-18
Bedok Reservoir Road (Blk 628),1,04-05-18
aki Bukit Industrial Terrace,12,04-05-18
Pandan Gardens (Blk 411),6,04-05-18
Pandan Gardens (Blk 414),2,04-05-18
angsa Road (Blk 153),3,04-05-18
angsa Road (Blk 154),2,04-05-18
azel Park Terrace Hazel Park ndominium),2,04-05-18
Senoko Crescent,1,04-05-18
noko Drive,2,04-05-18
noko Road,4,04-05-18
alan Damai (Blk 664),1,04-05-18
alan Damai (Blk 667),1,04-05-18
lan Tenaga (Blk 651),1,04-05-18
lan Tenaga (Blk 654),2,04-05-18
Hougang Avenue 5 (Blk 308),2,04-05-18
Hougang Avenue 5 (Blk 319),1,04-05-18
Hougang Avenue 5 (Blk 320),1,04-05-18
Hougang Avenue 5 (Blk 324),1,04-05-18
arlisle Road,3,04-05-18
rtford Road Vanadium),1,04-05-18
alan Kuang,1,04-05-18
lan Pergam,1,04-05-18
pper Changi Road East Sunhaven),2,04-05-18
oodlands Drive 60 Blk 786B),1,04-05-18
oodlands Drive 60 Blk 786E),1,04-05-18
oodlands Drive 60 Blk 786F),2,04-05-18
orporation Road Parc Vista),1,04-05-18
urong West Street 52 (Blk 518),1,04-05-18
erangoon Avenue 1 (Blk 403),1,04-05-18
erangoon Avenue 1 (Blk 408),1,04-05-18
erangoon Central (Blk 412),1,04-05-18
bi Avenue 1,1,04-05-18
bi Crescent,1,04-05-18
bi Road 1,1,04-05-18
oodlands Street 82 (Blk 848),2,04-05-18
oodlands Street 82 (Blk 849),1,04-05-18
Yishun Industrial Street 1,1,04-05-18
ishun Street 22 Blk 269A),2,04-05-18
Alexandra Road (The nchorage),2,04-05-18
edok Road,1,04-05-18
ukit Batok st Avenue 9 Blk 448A),1,04-05-18
ukit Batok st Avenue 9 Blk 448C),1,04-05-18
Choa Chu ang North 5 (Blk 757),1,04-05-18
Choa Chu ng Street 53 (Blk 701),1,04-05-18
Hougang Street 21 (Blk 211),1,04-05-18
Hougang Street 21 (Blk 231),1,04-05-18
urong West Avenue 5 (Blk 729),1,04-05-18
urong West Street 72 (Blk 731),1,04-05-18
rong Kismis,1,04-05-18
rong Kismis ismis View),1,04-05-18
Lorong Marzuki,2,04-05-18
acpherson Road,1,04-05-18
Siak Kew Avenue,1,04-05-18
Toh Guan Road (Blk 274),1,04-05-18
oodlands Drive 14 (Blk 521),1,04-05-18
oodlands Drive 14 (Blk 523),1,04-05-18
oodlands Street 81 (Blk 804),1,04-05-18
oodlands Street 81 (Blk 806),1,04-05-18
ishun Street 71 (Blk 714),1,04-05-18
ishun Street 71 (Blk 719),1,04-05-18
Bedok Reservoir Road (Blk 122),1,07-05-18
Bedok Reservoir Road (Blk 124),1,07-05-18
Bedok Reservoir Road (Blk 128),1,07-05-18
Bedok Reservoir Road (Blk 130),1,07-05-18
Bedok Reservoir Road (Blk 131),2,07-05-18
Bedok Reservoir Road (Blk 132),1,07-05-18
Bedok Reservoir Road (Blk 135),2,07-05-18
Bedok Reservoir Road (Blk 136),9,07-05-18
Bedok Reservoir Road (Blk 137),2,07-05-18
Bedok Reservoir Road (Blk 138),2,07-05-18
Bedok Reservoir Road (Blk 139),10,07-05-18
Bedok Reservoir Road (Blk 140),1,07-05-18
Bedok Reservoir Road (Blk 142),4,07-05-18
Bedok Reservoir Road (Blk 144),3,07-05-18
Bedok Reservoir Road (Blk 145),1,07-05-18
Bedok Reservoir Road (Blk 148),1,07-05-18
Bedok Reservoir Road (Blk 150),2,07-05-18
Bedok Reservoir Road (Blk 608),1,07-05-18
Bedok Reservoir Road (Blk 609),1,07-05-18
Bedok Reservoir Road (Blk 622),1,07-05-18
Bedok Reservoir Road (Blk 623),1,07-05-18
Bedok Reservoir Road (Blk 628),1,07-05-18
Eastwood Drive,22,07-05-18
Eastwood Green,4,07-05-18
Eastwood Place,1,07-05-18
Eastwood Terrace,2,07-05-18
stwood Way,3,07-05-18
alan Greja,3,07-05-18
esari Walk,1,07-05-18
man Bedok,1,07-05-18
Pandan Gardens (Blk 404),1,07-05-18
Pandan Gardens (Blk 405),1,07-05-18
Pandan Gardens (Blk 411),6,07-05-18
Pandan Gardens (Blk 412),1,07-05-18
Pandan Gardens (Blk 414),9,07-05-18
aki Bukit Industrial Terrace,14,07-05-18
aki Bukit Place,1,07-05-18
ashew Road (Cashew Heights),1,07-05-18
angsa Road (Blk 153),3,07-05-18
angsa Road (Blk 154),2,07-05-18
Hougang Avenue 5 (Blk 308),2,07-05-18
Hougang Avenue 5 (Blk 310),3,07-05-18
Hougang Avenue 5 (Blk 319),1,07-05-18
Hougang Avenue 5 (Blk 320),1,07-05-18
Hougang Avenue 5 (Blk 324),1,07-05-18
alan Damai (Blk 664),1,07-05-18
alan Damai (Blk 667),1,07-05-18
lan Tenaga (Blk 651),1,07-05-18
lan Tenaga (Blk 652),1,07-05-18
lan Tenaga (Blk 654),2,07-05-18
lan Tenaga (Blk 655),1,07-05-18
lan Tenaga (Blk 658),1,07-05-18
Senoko Crescent,1,07-05-18
noko Drive,2,07-05-18
noko Road,5,07-05-18
edok Road,1,07-05-18
edok Road ountry Park ndominium),1,07-05-18
dok Garden,2,07-05-18
imau Grove,1,07-05-18
urong West Avenue 5 (Blk 729),2,07-05-18
urong West Street 72 (Blk 731),1,07-05-18
ergui Road (Mergui ansions),2,07-05-18
ergui Road (Pristine Heights),1,07-05-18
bi Avenue 1,1,07-05-18
bi Crescent,1,07-05-18
bi Road 1,1,07-05-18
oodlands Street 82 (Blk 848),2,07-05-18
oodlands Street 82 (Blk 849),1,07-05-18
Yishun Industrial Street 1,1,07-05-18
ishun Street 22 Blk 269A),2,07-05-18
unnan Road,1,07-05-18
ukit Batok st Avenue 9 Blk 448A),1,07-05-18
ukit Batok st Avenue 9 Blk 448C),1,07-05-18
Choa Chu ang Avenue 2 (Blk 274),1,07-05-18
Choa Chu ang Avenue 3 (Blk 281),1,07-05-18
Hougang Street 21 (Blk 211),1,07-05-18
Hougang Street 21 (Blk 231),1,07-05-18
Ipoh Lane (Imperial Heights),1,07-05-18
Ipoh Lane Versilia on Haig),1,07-05-18
urong West Street 91 (Blk 909),1,07-05-18
urong West Street 91 (Blk 914),1,07-05-18
Lengkong Empat,1,07-05-18
Lorong Marzuki,2,07-05-18
ishun Street 11 (Blk 123),1,07-05-18
ishun Street 11 (Blk 132),1,07-05-18
ishun Street 71 (Blk 714),1,07-05-18
ishun Street 71 (Blk 719),1,07-05-18
Bedok Reservoir Road (Blk 122),1,11-05-18
Bedok Reservoir Road (Blk 124),1,11-05-18
Bedok Reservoir Road (Blk 128),1,11-05-18
Bedok Reservoir Road (Blk 130),1,11-05-18
Bedok Reservoir Road (Blk 131),2,11-05-18
Bedok Reservoir Road (Blk 132),1,11-05-18
Bedok Reservoir Road (Blk 135),2,11-05-18
Bedok Reservoir Road (Blk 136),10,11-05-18
Bedok Reservoir Road (Blk 137),2,11-05-18
Bedok Reservoir Road (Blk 138),2,11-05-18
Bedok Reservoir Road (Blk 139),10,11-05-18
Bedok Reservoir Road (Blk 140),1,11-05-18
Bedok Reservoir Road (Blk 142),4,11-05-18
Bedok Reservoir Road (Blk 144),3,11-05-18
Bedok Reservoir Road (Blk 145),1,11-05-18
Bedok Reservoir Road (Blk 148),1,11-05-18
Bedok Reservoir Road (Blk 150),2,11-05-18
Bedok Reservoir Road (Blk 608),1,11-05-18
Bedok Reservoir Road (Blk 609),1,11-05-18
Bedok Reservoir Road Blk 613B),1,11-05-18
Bedok Reservoir Road (Blk 622),1,11-05-18
Bedok Reservoir Road (Blk 623),1,11-05-18
Bedok Reservoir Road (Blk 628),1,11-05-18
Bedok Reservoir Road (Blk 629),1,11-05-18
Eastwood Green,4,11-05-18
Eastwood Place,1,11-05-18
Eastwood Road,1,11-05-18
Eastwood Terrace,2,11-05-18
stwood Way,3,11-05-18
alan Greja,3,11-05-18
esari Walk,1,11-05-18
man Bedok,1,11-05-18
Pandan Gardens (Blk 404),1,11-05-18
Pandan Gardens (Blk 405),1,11-05-18
Pandan Gardens (Blk 411),6,11-05-18
Pandan Gardens (Blk 412),1,11-05-18
Pandan Gardens (Blk 414),9,11-05-18
aki Bukit Industrial Terrace,14,11-05-18
aki Bukit Place,1,11-05-18
angsa Road (Blk 153),3,11-05-18
angsa Road (Blk 154),2,11-05-18
azel Park Terrace Hazel Park ndominium),3,11-05-18
Hougang Avenue 5 (Blk 308),2,11-05-18
Hougang Avenue 5 (Blk 310),3,11-05-18
Hougang Avenue 5 (Blk 319),1,11-05-18
Hougang Avenue 5 (Blk 320),1,11-05-18
Hougang Avenue 5 (Blk 324),1,11-05-18
alan Damai (Blk 664),1,11-05-18
alan Damai (Blk 667),1,11-05-18
lan Tenaga (Blk 651),1,11-05-18
lan Tenaga (Blk 652),1,11-05-18
lan Tenaga (Blk 654),2,11-05-18
lan Tenaga (Blk 658),1,11-05-18
Senoko Crescent,1,11-05-18
noko Drive,2,11-05-18
noko Road,5,11-05-18
ng Mo Kio enue 9 (Blk 621),2,11-05-18
ng Mo Kio enue 9 (Blk 627),1,11-05-18
dok Avenue,1,11-05-18
edok Road,1,11-05-18
edok Road ountry Park ndominium),1,11-05-18
dok Garden,2,11-05-18
imau Grove,1,11-05-18
lan Telang,3,11-05-18
urong West Avenue 5 (Blk 729),2,11-05-18
urong West Street 72 (Blk 731),1,11-05-18
urong West Street 91 (Blk 909),1,11-05-18
urong West Street 91 (Blk 913),1,11-05-18
ergui Road (Mergui ansions),2,11-05-18
ergui Road (Pristine Heights),1,11-05-18
oodlands Street 82 (Blk 848),2,11-05-18
oodlands Street 82 (Blk 849),1,11-05-18
nnan Drive 1,2,11-05-18
unnan Road,1,11-05-18
ukit Batok st Avenue 9 Blk 448A),1,11-05-18
ukit Batok st Avenue 9 Blk 448C),1,11-05-18
Choa Chu ang Avenue 2 (Blk 274),1,11-05-18
Choa Chu ang Avenue 3 (Blk 281),1,11-05-18
Hougang Street 21 (Blk 211),1,11-05-18
Hougang Street 21 (Blk 231),1,11-05-18
Ipoh Lane Versilia on Haig),1,11-05-18
Lengkong Empat,1,11-05-18
Lengkong Tujoh Vacanza @ East),1,11-05-18
Lorong Marzuki,2,11-05-18
ishun Street 11 (Blk 123),1,11-05-18
ishun Street 11 (Blk 132),1,11-05-18
ishun Street 71 (Blk 714),1,11-05-18
ishun Street 71 (Blk 719),1,11-05-18
Upper Serangoon View,7,14-05-18
Upper Serangoon View (Boat house Residences),2,14-05-18
Upper Serangoon View (Hero n Bay),4,14-05-18
Tampines Street 42 (Blk 446),1,14-05-18
Tampines Street 43 (Blk 434),4,14-05-18
Tampines Street 43 (Blk 436),2,14-05-18
Tampines Street 43 (Blk 438),1,14-05-18
Choa Chu Kang Avenue 2 (Blk 249),1,14-05-18
Choa Chu Kang Avenue 2 (Blk 276),2,14-05-18
Hong San Terrace,1,14-05-18
Pasir Ris Drive 4 (Blk 461 ),1,14-05-18
Pasir Ris Drive 4 (The Esparis),2,14-05-18
Pasir Ris Drive 6 (Blk 454 ),1,14-05-18
Anchorvale Lane (Blk 3 11B),1,14-05-18
Anchorvale Road (Blk 3 09D),1,14-05-18
Pasir Ris Street 51 (Blk 564),1,14-05-18
Pasir Ris Street 51 (Blk 565),1,14-05-18
Upper Serangoon View,46,18-05-18
Upper Serangoon View (Boat house Residences),3,18-05-18
Upper Serangoon View (Hero n Bay),4,18-05-18
Tampines Street 42 (Blk 446),1,18-05-18
Tampines Street 43 (Blk 434),4,18-05-18
Tampines Street 43 (Blk 436),3,18-05-18
Tampines Street 43 (Blk 438),1,18-05-18
Choa Chu Kang Avenue 2 (Blk 249),1,18-05-18
Choa Chu Kang Avenue 2 (Blk 250),1,18-05-18
Choa Chu Kang Avenue 2 (Blk 276),3,18-05-18
Hong San Terrace,1,18-05-18
Pasir Ris Drive 4 (Blk 461 ),1,18-05-18
Pasir Ris Drive 4 (The Esparis),2,18-05-18
Pasir Ris Drive 6 (Blk 454 ),1,18-05-18
Cassia Crescent (Blk 28),1,18-05-18
Pine Close (Blk 3),2,18-05-18
Holland Close (Blk 1),1,18-05-18
Holland Close (Blk 3A ),2,18-05-18
Happy Avenue East,1,18-05-18
Jalan Anggerek,1,18-05-18
Upper Serangoon View,57,21-05-18
Upper Serangoon View (Boat house Residences),6,21-05-18
Upper Serangoon View (Hero n Bay),5,21-05-18
Upper Serangoon View (Rio V ista),3,21-05-18
Tampines Street 42 (Blk 444),1,21-05-18
Tampines Street 42 (Blk 446),1,21-05-18
Tampines Street 43 (Blk 434),4,21-05-18
Tampines Street 43 (Blk 436),3,21-05-18
Tampines Street 43 (Blk 437),1,21-05-18
Tampines Street 43 (Blk 438),1,21-05-18
Tampines Street 43 (Blk 474),1,21-05-18
Tampines Street 44 (Blk 465),1,21-05-18
Cassia Crescent (Blk 28),1,21-05-18
Pine Close (Blk 3),2,21-05-18
Pasir Ris Street 51 (Blk 559),1,21-05-18
Pasir Ris Street 51 (Blk 560),1,21-05-18
Pasir Ris Street 51 (Blk 564),1,21-05-18
Boon Keng Road (Blk 5 ),1,21-05-18
Boon Keng Road (Blk 5 ),1,21-05-18
Geylang East Avenue 1 (Blk 131),2,21-05-18
Jurong West Avenue 1 (Blk 484),1,21-05-18
Jurong West Street 41 (Bl k 492),1,21-05-18
Hougang Avenue 7 (The Florida),1,25-05-18
Upper Serangoon View,58,25-05-18
Upper Serangoon View (Boat house Residences),7,25-05-18
Upper Serangoon View (Hero n Bay),5,25-05-18
Upper Serangoon View (Rio V ista),3,25-05-18
Tampines Street 42 (Blk 444),1,25-05-18
Tampines Street 42 (Blk 446),1,25-05-18
Tampines Street 43 (Blk 434),4,25-05-18
Tampines Street 43 (Blk 436),3,25-05-18
Tampines Street 43 (Blk 437),2,25-05-18
Tampines Street 43 (Blk 438),1,25-05-18
Tampines Street 43 (Blk 474),1,25-05-18
Tampines Street 44 (Blk 465),1,25-05-18
Cassia Crescent (Blk 28),1,25-05-18
Pine Close (Blk 3),2,25-05-18
Pasir Ris Street 51 (Blk 559),1,25-05-18
Pasir Ris Street 51 (Blk 560),1,25-05-18
Pasir Ris Street 51 (Blk 564),1,25-05-18
Geylang East Avenue 1 (Blk 131),2,25-05-18
Jurong West Avenue 1 (Blk 484),1,25-05-18
Jurong West Street 41 (Bl k 492),1,25-05-18
Tampines Street 12 (Blk 143),1,25-05-18
Tampines Street 12 (Blk 144),1,25-05-18
Tampines Street 45 (Blk 491F ),1,25-05-18
Tampines Street 45 (Blk 491G ),1,25-05-18
Hougang Avenue 7 (The Florida),2,28-05-18
Upper Serangoon View,59,28-05-18
Upper Serangoon View (Boat house Residences),7,28-05-18
Upper Serangoon View (Hero n Bay),5,28-05-18
Upper Serangoon View (Rio V ista),7,28-05-18
Pasir Ris Street 51 (Blk 559),1,28-05-18
Pasir Ris Street 51 (Blk 560),1,28-05-18
Pasir Ris Street 51 (Blk 564),1,28-05-18
Whampoa Drive (Blk 9 8),2,28-05-18
Whampoa Drive (Blk 1 00),1,28-05-18
Geylang East Avenue 1 (Blk 131),2,28-05-18
Jurong West Avenue 1 (Blk 484),1,28-05-18
Jurong West Street 41 (Bl k 492),1,28-05-18
Tampines Street 12 (Blk 143),1,28-05-18
Tampines Street 12 (Blk 144),1,28-05-18
Tampines Street 45 (Blk 491F ),1,28-05-18
Tampines Street 45 (Blk 491G ),1,28-05-18
Hougang Avenue 7 (Rio Casa ),2,01-06-18
Hougang Avenue 7 (The Florida),4,01-06-18
Upper Serangoon View,60,01-06-18
Upper Serangoon View (Boat house Residences),9,01-06-18
Upper Serangoon View (Hero n Bay),8,01-06-18
Upper Serangoon View (Rio V ista),8,01-06-18
Whampoa Drive (Blk 9 8),2,01-06-18
Whampoa Drive (Blk 1 00),1,01-06-18
Whampoa Drive (Blk 1 01),2,01-06-18
Pasir Ris Street 51 (Blk 559),1,01-06-18
Pasir Ris Street 51 (Blk 560),2,01-06-18
Pasir Ris Street 51 (Blk 564),1,01-06-18
Petir Road (Blk 215),1,01-06-18
Petir Road (Blk 216),1,01-06-18
Petir Road (Blk 218),1,01-06-18
Tampines Street 12 (Blk 143),2,01-06-18
Tampines Street 12 (Blk 144),1,01-06-18
Tampines Street 42 (Blk 460),1,01-06-18
Tampines Street 43 (Blk 474),1,01-06-18
Tampines Street 44 (Blk 463),1,01-06-18
Bukit Batok Central (Blk 639 ),2,01-06-18
Hougang Avenue 7 (Rio Casa ),2,04-06-18
Hougang Avenue 7 (The Florida),4,04-06-18
Upper Serangoon View,60,04-06-18
Upper Serangoon View (Boat house Residences),9,04-06-18
Upper Serangoon View (Hero n Bay),8,04-06-18
Upper Serangoon View (Rio V ista),9,04-06-18
Whampoa Drive (Blk 9 8),2,04-06-18
Whampoa Drive (Blk 1 00),1,04-06-18
